Date,Station-ERA5-Bernard,Station-PRISM-Bernard,PRISM-ERA5-Bernard
2015-05,0.8925294187826661,0.5920598496581913,0.5922991444091276
2015-06,0.9214306325995324,0.6800643490106301,0.6620608790197424
2015-07,0.9335496290578801,0.740771777825562,0.7473729198694703
2015-08,0.9354095880463887,0.7516832622641738,0.7562549847595222
2015-09,0.9293231485882798,0.7339919822241345,0.7246913942971287
2016-05,0.7771651365661583,0.8125362317979893,0.7710021665983358
2016-06,0.8338606744979319,0.8835349090883162,0.7659020804125771
2016-07,0.8806507832006483,0.9098346367281549,0.8249862219474757
2016-08,0.8791286926370699,0.9031033928160713,0.8434562270919271
2016-09,0.8381125982650768,0.8925948240942103,0.7911866031724847
2017-05,0.8928895614191491,0.5808389496054575,0.5824069249885484
2017-06,0.9124442706271196,0.6646991443466875,0.6655563149667806
2017-07,0.9280919458267877,0.7549853264049047,0.749024046726339
2017-08,0.9382616640770137,0.7649678898190331,0.7502206053927442
2017-09,0.917590677170757,0.6805704035283242,0.6553878271192587
2018-05,0.9108737070607462,0.6296215413816294,0.6268933409929288
2018-06,0.9306900932797234,0.6657735312839003,0.6732890445143604
2018-07,0.9188277771773385,0.7453901476785659,0.7441200341220064
2018-08,0.931799620639926,0.7157930843182623,0.6970555670955645
2018-09,0.9442930909199403,0.7166442653651137,0.710424493099305
2019-05,0.9083740319497053,0.6476387550643874,0.6526305313916826
2019-06,0.9237633638933809,0.6699960622346138,0.6563152847835487
2019-07,0.9300692315969086,0.7435179956876419,0.7365379124378754
2019-08,0.9457878818725183,0.7888562064897441,0.7818418514314319
2019-09,0.9307801843574907,0.6325290146639527,0.6359346659342848
2020-05,0.812753820378113,0.8072104241245653,0.7449238716093056
2020-06,0.7809479466581458,0.803572335198571,0.7578806831501594
2020-07,0.8525480460403398,0.8954228471437697,0.7969561319359697
2020-08,0.8702723081716105,0.8926109352370257,0.814800483533273
2020-09,0.8288124754195362,0.8444154587083184,0.8280264350275036
